millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1,1,-0.125025,0.365504,10.057633,0.026267,0.036805,-0.021533,4.983923,39.549839,1.315405
1,2,-0.132802,0.391825,9.976277,0.026725,0.039401,-0.018479,4.311605,39.476760,0.950015
46,1,-0.117847,0.354138,10.049258,0.021686,0.038485,-0.017104,5.115463,39.476760,1.140017
46,2,-0.116650,0.349950,9.946964,0.025962,0.036194,-0.019090,4.720842,39.798305,0.979246
92,1,-0.099302,0.329013,10.078570,0.025962,0.040470,-0.019090,4.896229,39.754455,0.964630
92,2,-0.123230,0.371486,10.000803,0.020464,0.037263,-0.019090,5.115463,39.579071,0.686934
139,1,-0.116052,0.355932,10.018749,0.025351,0.040164,-0.021991,5.027770,39.695995,1.023093
139,2,-0.135793,0.355932,10.021142,0.022144,0.034819,-0.016035,4.618533,39.374454,0.993861
185,1,-0.134596,0.376271,10.034302,0.022755,0.040775,-0.018631,4.896229,39.257526,0.906168
185,2,-0.111864,0.361316,10.064213,0.025045,0.036499,-0.017410,4.837767,39.228294,0.993861
231,1,-0.083151,0.369691,9.987045,0.024587,0.040470,-0.019853,4.516223,39.009059,0.920783
231,2,-0.108873,0.359522,10.004392,0.023366,0.037721,-0.018479,4.750073,39.462146,1.943876
276,1,-0.121436,0.364307,10.042078,0.022602,0.043677,-0.018631,4.793920,39.432914,1.037708
276,2,-0.125623,0.367298,9.977473,0.024893,0.039401,-0.017410,5.100848,39.330604,2.177726
322,1,-0.108873,0.375673,10.002597,0.026267,0.041844,-0.017868,4.779304,38.906753,1.300789
322,2,-0.122034,0.367896,10.037892,0.023518,0.039401,-0.022449,5.057001,39.272140,1.607717
368,1,-0.133400,0.359522,10.043275,0.020464,0.034208,-0.019395,4.603917,39.023677,1.183864
368,2,-0.117248,0.375673,9.992428,0.020769,0.037110,-0.017410,4.282373,39.184448,1.008477
413,1,-0.113659,0.358325,10.036098,0.023366,0.040470,-0.016646,4.589301,39.389068,1.607717
413,2,-0.129212,0.353540,10.021739,0.022907,0.038485,-0.021533,4.516223,39.169834,1.359252
459,1,-0.109472,0.359522,10.024132,0.022602,0.038332,-0.018784,4.516223,38.862903,1.549255
459,2,-0.103490,0.361914,10.008580,0.024129,0.041081,-0.018784,4.530839,39.374454,1.593101
505,1,-0.129811,0.365504,10.004991,0.023213,0.037721,-0.019242,4.560070,38.965217,1.008477
505,2,-0.115454,0.348156,10.000803,0.023366,0.038790,-0.019090,4.720842,39.096755,1.096171
551,1,-0.099302,0.349950,9.998410,0.022907,0.038943,-0.019242,4.633148,39.169834,0.219234
551,2,-0.105284,0.366700,10.027124,0.029169,0.039401,-0.019700,4.837767,38.862903,1.154633
597,1,-0.132802,0.360120,9.994222,0.022907,0.041844,-0.017257,4.925460,38.906753,0.599240
597,2,-0.119043,0.372084,9.988241,0.025504,0.036499,-0.018326,4.574686,39.505992,0.409237
642,1,-0.114855,0.355334,10.030115,0.026573,0.040623,-0.020159,4.223911,39.535224,0.847705
642,2,-0.117248,0.369691,10.031311,0.023366,0.038026,-0.016646,4.282373,39.184448,0.190003
688,1,-0.131007,0.349352,10.031910,0.031612,0.037721,-0.018784,4.443145,39.462146,0.102309
688,2,-0.085543,0.364307,9.999606,0.021075,0.038485,-0.017257,4.706226,39.579071,0.672318
734,1,-0.137587,0.361316,10.005588,0.019700,0.037110,-0.020464,4.823151,39.286758,0.657702
