millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
1,2,-0.128614,0.380459,10.116854,0.023671,0.035888,-0.023671,5.217772,39.125988,1.417714
47,2,-0.117248,0.352343,9.967303,0.023976,0.039401,-0.017715,4.808536,38.775211,1.06694
92,2,-0.116052,0.387637,10.007981,0.018326,0.039859,-0.01909,4.837767,39.21368,1.403099
138,2,-0.127418,0.355334,10.019945,0.026878,0.039095,-0.018021,4.501607,39.067523,1.256942
184,2,-0.126221,0.374477,9.961919,0.022755,0.077427,-0.019548,4.823151,38.994445,1.812336
230,2,-0.102891,0.401396,10.009178,0.02306,0.037415,-0.020769,4.940076,39.374454,1.227711
275,2,-0.147159,0.397209,9.994821,0.029169,0.041386,-0.019395,4.662379,38.965217,1.417714
322,2,-0.113659,0.373879,10.030115,0.027184,0.037721,-0.020311,4.69161,39.447532,1.520023
368,2,-0.125623,0.379262,10.051651,0.028405,0.039401,-0.014966,4.413914,39.432914,0.83309
413,2,-0.101695,0.382852,9.999606,0.026573,0.038332,-0.021228,4.706226,39.11137,1.636948
459,2,-0.130409,0.384646,10.000803,0.02642,0.03711,-0.018937,5.057001,39.301376,1.359252
505,2,-0.129212,0.388834,10.005588,0.024282,0.037874,-0.018784,5.173926,39.579071,1.56387
551,2,-0.121436,0.361914,9.996017,0.0197,0.035736,-0.018937,4.983923,39.564453,1.593101
596,2,-0.135793,0.387637,9.999606,0.023518,0.039095,-0.018937,5.071617,39.301376,0.891552
642,2,-0.116052,0.378066,10.001999,0.018784,0.037721,-0.017868,4.574686,39.447532,0.686934
688,2,-0.106481,0.363709,10.04148,0.021686,0.039859,-0.015577,4.735457,39.228294,1.242327
734,2,-0.131007,0.366102,10.010972,0.021838,0.036499,-0.01741,4.545454,39.052909,1.037708
779,2,-0.110668,0.34995,10.018151,0.02306,0.041844,-0.01741,4.296989,39.184448,1.227711
825,2,-0.115454,0.356531,10.0014,0.027336,0.039554,-0.018021,4.223911,39.885997,0.058462
871,2,-0.08674,0.334995,10.003793,0.025809,0.034208,-0.019242,4.355452,39.783687,1.008477
917,2,-0.170489,0.376271,10.137792,-0.005803,0.040623,-0.018326,4.750073,39.622917,0.950015
963,2,-0.111864,0.394816,10.099507,0.022449,0.040012,-0.019853,4.399299,39.754455,0.920783
1009,2,-0.143569,0.315853,9.893126,0.016188,0.039859,-0.018784,4.457761,39.242912,0.876937
1055,2,-0.119043,0.407378,10.027723,0.020617,0.03879,-0.019548,4.56007,38.804443,0.277697
1101,2,-0.110668,0.408575,10.01157,0.028711,0.041997,-0.020769,4.384683,38.833675,0.336159
1146,2,-0.104686,0.365504,10.001999,-0.013134,0.036194,-0.020311,4.486992,39.038291,0.979246
1192,2,-0.12323,0.411566,10.005588,0.017715,0.038332,-0.018937,4.969307,38.921367,0.847705
1238,2,-0.125623,0.439681,10.004991,0.011759,0.036194,-0.024435,4.866998,38.731365,0.716165
1284,2,-0.116052,0.52343,9.91825,0.049175,0.046273,-0.019548,4.501607,38.804443,0.204619
1330,2,-0.124427,0.43011,10.00858,0.027031,0.036652,-0.021991,4.79392,38.950599,0.248465
1375,2,-0.111266,0.410967,9.990633,0.009621,0.037415,-0.0197,3.931599,39.199062,-0.204619
1421,2,-0.126221,0.425324,9.974482,0.030696,0.002749,-0.018479,4.954691,38.950599,-0.160772
1467,2,-0.108873,0.38345,10.036098,0.020769,0.038026,-0.020311,4.910845,38.833675,0.423853
1513,2,-0.125025,0.439083,10.000803,0.011454,0.037721,-0.018784,4.92546,38.848289,1.520023
1559,2,-0.126221,0.421137,9.983454,0.01909,0.039859,-0.01909,4.69161,38.643669,0.482315
1605,2,-0.113061,0.407378,10.01157,0.013286,0.034056,-0.019242,5.086232,38.950599,0.555393
1651,2,-0.096909,0.415753,9.973883,0.009316,0.036652,-0.020769,3.975446,30.897399,0.116925
1697,2,-0.112463,0.433101,10.016955,0.023366,0.038332,-0.019242,3.990061,31.131246,0.116925
1742,2,-0.133998,0.437288,10.01516,0.012217,0.036805,-0.018631,4.048524,30.868165,1.885414
1788,2,-0.097508,0.429512,9.984652,0.022449,0.038179,-0.020617,3.800058,31.131246,0.131541
1834,2,-0.127418,0.43669,9.988241,0.036957,0.040164,-0.020159,3.800058,31.102016,0.131541
1880,2,-0.105284,0.389432,9.983454,0.049022,0.037721,-0.018784,4.033908,30.912014,0.131541
1925,2,-0.09332,0.4002,9.960125,0.01573,0.039554,-0.022602,5.305466,39.038291,0.83309
1971,2,-0.101097,0.402592,10.150953,0.030543,0.039095,-0.018173,5.130079,38.789825,0.920783
